name,gt,center_x,center_y,center_z,width,hight
text_ECG,ECG,-0.19,0.425,0,0.085,0.03
text_bpm,bpm,-0.19,0.37,0,0.085,0.04
text_80,80,-0.344,0.351,0,0.15,0.11
text_resp,RESP,-0.174,0.238,0,0.073,0.03
text_14,14,-0.220,0.181,0,0.083,0.06
text_temp,TEMP,-0.385,0.200,0,0.123,0.04
text_spo2,SpO2,-0.201,0.075,0,0.103,0.04
text_99,99,-0.352,0.077,0,0.143,0.097
text_percent,%,-0.457,0.104,0,0.033,0.03
text_co2,CO2,-0.191,-0.032,0,0.083,0.031
text_38,38,-0.318,-0.037,0,0.143,0.097
text_mmHg_1,mmHg,-0.4364,-0.0036,0,0.073,0.025
text_ibp,IBP,-0.180,-0.122,0,0.063,0.03
text_mmHg_2,mmHg,-0.421,-0.126,0,0.093,0.03
text_12080_1,120/80,-0.238,-0.176,0,0.173,0.04
text_(93)_1,(93),-0.196,-0.250,0,0.093,0.05
text_nibp,NIBP,-0.195,-0.305,0,0.093,0.03
text_mmHg_3,mmHg,-0.42,-0.309,0,0.093,0.03
text_12080_2,120/80,-0.238,-0.359,0,0.173,0.04
text_(93)_2,(93),-0.196,-0.434,0,0.093,0.05















